Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD 12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R(14);CCI;ATR;UO;;;;;;;;;;;;;;;;;;;;;
0;20100608;18466.99;18631.18;18892.35;18323.01;-0.006;-0.005527168;-912.79;19247.28666;18627.71988;619.5667822;430.5903364;188.9764458;-9.86118E-08;-3.01924E-07;-3.33738E-07;50.53400538;50.42212032;50.43681971;0.539681992;0.309965044;0.08505255;38.62255768;-69.69488794;-116.3193891;696.5534087;45.73625363;;;;;;;;;;;;;;;;;;;;;
1;20100609;18761;18542.8;18764.61;18191.02;-0.005;-0.004743661;-736.38;19138.9041;18536.2677;602.6363958;464.9995483;137.6368476;5.89062E-08;-3.03738E-07;-2.84651E-07;50.49882972;50.57844686;50.66921093;0.784380986;0.509226744;0.788821758;38.59001592;-74.259947;-122.1294302;687.770308;49.26442261;;;;;;;;;;;;;;;;;;;;;
1;20100610;18734.84;18912.91;18912.91;18532.25;0.020;0.019959769;-270.22;19104.13577;18941.88248;162.2532903;404.4502967;-242.1970064;4.94739E-08;-2.64636E-07;-2.43446E-07;50.54221501;50.53011712;50.66242664;0.847792661;0.453608006;0.768276327;38.26655482;-49.86606937;-79.9191589;665.8338575;52.35850033;;;;;;;;;;;;;;;;;;;;;
1;20100611;18781.95;19391.09;19432.26;18658.6;0.025;0.025283259;-82.26;19148.28258;19425.64442;-277.3618456;268.0878682;-545.4497138;-5.5741E-08;-1.74445E-07;-2.18032E-07;50.46449341;50.4988564;50.42258031;0.619638656;0.413228756;0.041930235;37.00125061;-22.26134947;-16.03696324;673.5357248;56.05607028;;;;;;;;;;;;;;;;;;;;;
1;20100614;19474.16;19660.27;19747.92;19326.95;0.014;0.013881633;925.54;19227.04987;19678.31812;-451.2682469;124.2166452;-575.4848921;5.6045E-08;-3.0495E-09;-1.59931E-07;50.68213598;50.59080833;50.54634341;1;0.532002408;0.416732057;35.29350757;-6.721932296;61.87244331;655.4953159;58.06069789;;;;;;;;;;;;;;;;;;;;;
1;20100615;19886.49;20188.54;20216.82;19883.91;0.027;0.026869926;1557.36;19374.97143;20227.78784;-852.8164048;-71.18996481;-781.62644;1.70356E-07;5.7861E-08;-1.37298E-07;50.84770516;50.6156206;50.4067733;1;0.995460212;0;32.98014859;-1.395991707;147.428584;648.4277933;63.37805309;;;;;;;;;;;;;;;;;;;;;
0;20100616;19959.85;20582.72;20631.95;19910;0.020;0.019524938;2039.92;19560.7789;20610.02247;-1049.24357;-266.8006859;-782.4428842;3.27779E-07;4.44686E-08;-1.09824E-08;51.20667123;50.90381699;50.5702138;1;1;0.492037704;30.99812693;-2.016854232;190.5257693;653.6793795;75.03046121;;;;;;;;;;;;;;;;;;;;;
0;20100617;20723.62;20562.63;20758.74;20274.33;-0.001;-0.000976061;1649.72;19714.90984;20558.98443;-844.0745832;-382.2554653;-461.8191179;3.47581E-07;1.26114E-07;4.30071E-08;50.75174562;50.61421421;50.55325171;0.422342899;0.60047799;0.440973334;29.32929504;-7.637514994;188.8359792;641.5887095;75.01824158;;;;;;;;;;;;;;;;;;;;;
1;20100618;20561.43;20568.91;20758.67;20453.63;0.000;0.000305408;1177.82;19846.29448;20569.67351;-723.3790242;-450.4801771;-272.8988471;2.75407E-07;1.67794E-07;1.12859E-07;50.98230877;50.81473638;50.62012819;0.704907679;0.877108701;0.642305009;27.77966544;-7.39294004;166.1166259;617.549516;74.4317451;;;;;;;;;;;;;;;;;;;;;
0;20100621;20630.28;20752.31;20790.6;20439.09;0.009;0.008916369;1092.04;19985.68148;20766.35896;-780.6774767;-516.519637;-264.1578397;4.98713E-07;1.56073E-07;1.66758E-07;50.97133718;51.00475326;50.63593941;0.682914198;1;0.689904698;26.38921751;-1.472930243;146.0052069;598.5466934;73.91063883;;;;;;;;;;;;;;;;;;;;;
0;20100622;21047.64;20810.44;21075.2;20739.59;0.003;0.002801134;621.9;20112.56741;20813.83085;-701.2634392;-553.4683974;-147.7950418;5.3734E-07;2.24527E-07;-5.77031E-09;50.70053977;51.15773952;50.6233451;0.318045558;1;0.651989521;25.52970019;-9.179732194;145.8962726;579.765501;67.86497525;;;;;;;;;;;;;;;;;;;;;
0;20100623;20666.47;20609.03;20854.92;20372.1;-0.010;-0.009678315;26.31;20188.94627;20593.27609;-404.3298186;-523.6406817;119.3108631;5.18647E-07;2.85824E-07;6.56415E-09;49.41339194;50.78796214;50.64774406;0;0.497325001;0.725442604;24.04583455;-16.16299954;103.3092042;572.8408224;65.05519321;;;;;;;;;;;;;;;;;;;;;
0;20100624;20371.9;20358.92;20659.26;20205.37;-0.012;-0.012135942;-203.71;20215.09607;20340.89261;-125.796534;-444.0718521;318.2753181;3.67369E-07;2.06664E-07;-2.23105E-08;49.71682519;50.67434726;50.47655317;0.169205795;0.342877043;0.210072328;22.37312797;-24.8347884;71.95219622;564.3443351;59.69813063;;;;;;;;;;;;;;;;;;;;;
0;20100625;20468.32;19942.39;20491.93;19825.97;-0.021;-0.020459337;-626.52;20173.14129;19911.73595;261.4053407;-302.9764136;564.3817542;1.45668E-07;4.57342E-08;-3.1374E-08;50.07225787;50.41860943;50.55675306;0.367408429;0;0.451514124;21.36311803;-39.27667483;35.13844299;571.6025969;50.61935598;;;;;;;;;;;;;;;;;;;;;
1;20100628;19979.29;19961.74;20121.43;19734.59;0.001;0.000970295;-790.57;20140.61802;19965.58647;175.0315527;-207.3748203;382.4063731;8.08467E-08;6.80227E-08;2.41307E-08;50.13367487;50.11092251;50.59692445;0.401656858;0;0.572450142;20.57162097;-38.60577356;18.20698086;558.4052685;50.25798651;;;;;;;;;;;;;;;;;;;;;
0;20100629;20063.25;20130.61;20282.08;19790.33;0.009;0.008459683;-679.83;20139.07832;20143.30412;-4.225795252;-166.7450153;162.5192201;-1.12854E-08;7.97804E-08;2.16364E-08;50.12188481;49.66354392;50.62079658;0.395082275;0;0.644317192;19.51713816;-37.14544132;28.35230539;553.6441779;53.42344956;;;;;;;;;;;;;;;;;;;;;
